respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1737906090778949,0.34057264192031383
26708,0.0455052161909475,0.08570605795465458
26709,0.2887236175911414,0.7544429036833333
26710,0.5588498618936031,0.8696033358651515
26711,0.3197516017422108,0.5189187934521908
26712,0.7102657255072974,0.9031448260454834
26713,0.3365540621688925,0.6572971993286973
26714,0.1627213252796259,0.14153335366413486
26715,0.0176012438896077,0.10275582405995344
26716,0.213800471405495,0.8549825896818545
26717,0.0427980481494969,0.44531423398941067
26718,0.3202867444055036,0.5483952412948195
26719,0.1692904341805603,0.8301690143340004
26720,0.0309867239442473,0.23213295708760073
26721,0.3919015082157841,0.5315302231273262
26722,0.0643027050364689,0.1259581741425074
26723,0.7087198275820066,0.8727369024989774
26724,0.0282324849133455,0.742539340621826
26725,0.0169645875439827,0.08256960803904641
26726,0.0750939396594477,0.10354981504506429
26727,0.4177885937849765,0.8353216845961046
26728,0.2913576748109652,0.5080891335835196
26729,0.1419828763242739,0.3773526493193169
26730,0.0556836616176549,0.20394270719147883
26731,0.0520266342712585,0.3024320623779091
26732,0.1687566889290196,0.25443630341405943
26733,0.9018347626572404,0.9491142507301302
26734,0.6242297278939193,0.47089853367126727
26735,0.0745306377108034,0.3490786730913236
26736,0.0677382081223202,0.15105720075978538
26737,0.0855545654998248,0.16331919048674537
26738,0.7102412133242272,0.802070445517032
26739,0.0751519760246215,0.2098141966689368
26740,0.1816363318346939,0.19886935277728687
26741,0.102861443111477,0.8684951930886591
26742,0.0760637222569123,0.31031361552829634
26743,0.0942279770362812,0.3760783742003674
26744,0.0687547391219896,0.6416998715580194
26745,0.1124736248553046,0.7480423868163952
26746,0.155080018312467,0.26905861447761326
26747,0.0327246636451114,0.1525237203642688
26748,0.1153109702456433,0.14514722762643878
26749,0.1218224369819334,0.6208752289356972
26750,0.4060272190363986,0.8918287969252728
26751,0.5458725852402297,0.7858696251173787
26752,0.0859034236469914,0.15215480373206283
26753,0.2343053290930361,0.5385992735805052
26754,0.254309089472539,0.4903591216833142
26755,0.1260316433396601,0.45152726681234345
26756,0.0386946470910193,0.06666830383217104
26757,0.3216485088195933,0.5064078052426566
26758,0.4569992601197109,0.7925557565802757
26759,0.0088396980228731,0.08733842693087486
26760,0.0546104979467079,0.15570720619557676
26761,0.3845816291618384,0.6877490309322407
26762,0.2030042723550808,0.7140021207856487
